t,y1,y2
2.227424749163879625e+01,1.766674205630889283e+00,-8.293790309157553220e-02
2.237458193979933085e+01,1.758314826093756444e+00,-8.369608992256410973e-02
2.247491638795986546e+01,1.749878243759908747e+00,-8.447699970419633719e-02
2.257525083612040362e+01,1.741362120934579760e+00,-8.528179824887813232e-02
2.267558528428093823e+01,1.732763998740051603e+00,-8.611173653657967775e-02
2.277591973244147283e+01,1.724081288166897652e+00,-8.696815883844570549e-02
2.287625418060200744e+01,1.715311260280956596e+00,-8.785251178835658259e-02
2.297658862876254204e+01,1.706451035442811737e+00,-8.876635456627476883e-02
2.307692307692307665e+01,1.697497571455218290e+00,-8.971137033066715893e-02
2.317725752508361126e+01,1.688447650495763730e+00,-9.068937909056321023e-02
2.327759197324414941e+01,1.679297864657059547e+00,-9.170235225212082508e-02
2.337792642140468402e+01,1.670044599959977338e+00,-9.275242906311413627e-02
2.347826086956521863e+01,1.660684018608258539e+00,-9.384193527844024441e-02
2.357859531772575323e+01,1.651212039194351666e+00,-9.497340444632344780e-02
2.367892976588628784e+01,1.641624314709013710e+00,-9.614960213675849410e-02
2.377926421404682245e+01,1.631916207857505352e+00,-9.737355376531281470e-02
2.387959866220735705e+01,1.622082763446471398e+00,-9.864857650647558540e-02
2.397993311036789521e+01,1.612118677303676861e+00,-9.997831610710523897e-02
2.408026755852842982e+01,1.602018261224318341e+00,-1.013667894794934438e-01
2.418060200668896442e+01,1.591775403312491344e+00,-1.028184341632359666e-01
2.428093645484949903e+01,1.581383522963567101e+00,-1.043381659914963677e-01
2.438127090301003363e+01,1.570835519568216654e+00,-1.059314466211843941e-01
2.448160535117056824e+01,1.560123713884363772e+00,-1.076043629175921085e-01
2.458193979933110285e+01,1.549239780724011473e+00,-1.093637207625248325e-01
2.468227424749164101e+01,1.538174671397155358e+00,-1.112171563873988883e-01
2.478260869565217561e+01,1.526918523925768545e+00,-1.131732692399859963e-01
2.488294314381271022e+01,1.515460558650365552e+00,-1.152417813797061569e-01
2.498327759197324482e+01,1.503788956262218202e+00,-1.174337298026704168e-01
2.508361204013377943e+01,1.491890714515013094e+00,-1.197616999901417179e-01
2.518394648829431404e+01,1.479751479054311147e+00,-1.222401112470824641e-01
2.528428093645484864e+01,1.467355342408695806e+00,-1.248855678860048973e-01
2.538461538461538680e+01,1.454684603721632774e+00,-1.277172945665436266e-01
2.548494983277592141e+01,1.441719479569651075e+00,-1.307576803290788625e-01
2.558528428093645601e+01,1.428437753432557189e+00,-1.340329641981602982e-01
2.568561872909699062e+01,1.414814347430770169e+00,-1.375741072268964749e-01
2.578595317725752523e+01,1.400820794761562738e+00,-1.414179125374364909e-01
2.588628762541805983e+01,1.386424583807631450e+00,-1.456084794148673756e-01
2.598662207357859444e+01,1.371588334730322378e+00,-1.501991128107312001e-01
2.608695652173913260e+01,1.356268754629248452e+00,-1.552548624828311019e-01
2.618729096989966720e+01,1.340415296138983026e+00,-1.608559457658167990e-01
2.628762541806020181e+01,1.323968413230343533e+00,-1.671024305445689973e-01
2.638795986622073642e+01,1.306857261168274720e+00,-1.741207480586617062e-01
2.648829431438127102e+01,1.288996616177248811e+00,-1.820729150023046861e-01
2.658862876254180563e+01,1.270282678719691916e+00,-1.911698545702336938e-01
2.668896321070234023e+01,1.250587245381228119e+00,-2.016910693490528705e-01
2.678929765886287839e+01,1.229749440012620987e+00,-2.140144233592941869e-01
2.688963210702341300e+01,1.207563695426964179e+00,-2.286625020502421612e-01
2.698996655518394761e+01,1.183761800487258320e+00,-2.463770935072040202e-01
2.709030100334448221e+01,1.157985229009245609e+00,-2.682432423213309547e-01
2.719063545150501682e+01,1.129740920484802125e+00,-2.959046382167075384e-01
2.729096989966555142e+01,1.098327575799094458e+00,-3.319561292748814396e-01
2.739130434782608603e+01,1.062706546271798391e+00,-3.807010164703384936e-01
2.749163879598662419e+01,1.021261798146395838e+00,-4.497153043019354590e-01
2.759197324414715879e+01,9.713201277401990463e-01,-5.533582060536720304e-01
2.769230769230769340e+01,9.081019086055037715e-01,-7.215026320047035480e-01
2.779264214046822801e+01,8.221489559401277125e-01,-1.024248498232742444e+00
2.789297658862876261e+01,6.920166956643164502e-01,-1.654332505481492799e+00
2.799331103678929722e+01,4.592508487737134715e-01,-3.259275382414013933e+00
2.809364548494983183e+01,-7.133453337841709485e-02,-8.264630579961080414e+00
2.819397993311036998e+01,-1.290035700098810079e+00,-1.323349796765317876e+01
2.829431438127090459e+01,-1.966216945533054927e+00,-1.639619664007756050e+00
2.839464882943143920e+01,-2.014222641548113923e+00,-1.719864902366944129e-02
2.849498327759197380e+01,-2.010200699136710956e+00,6.212459654394426184e-02
2.859531772575250841e+01,-2.003683310310705235e+00,6.615821913563596501e-02
2.869565217391304301e+01,-1.997014347847397620e+00,6.670036906046937497e-02
2.879598662207357762e+01,-1.990302682280315372e+00,6.708287501315068901e-02
2.889632107023411578e+01,-1.983552882448870402e+00,6.746410599955635079e-02
2.899665551839465039e+01,-1.976764509187480368e+00,6.785198574282709505e-02
2.909698996655518499e+01,-1.969936856450461349e+00,6.824712402904505038e-02
2.919732441471571960e+01,-1.963069182885961217e+00,6.864977466256889926e-02
2.929765886287625420e+01,-1.956160722480420278e+00,6.906018334667335390e-02
2.939799331103678881e+01,-1.949210684099354385e+00,6.947860611276630849e-02
2.949832775919732342e+01,-1.942218250301857907e+00,6.990531095202176526e-02
2.959866220735786158e+01,-1.935182576135364485e+00,7.034057859154571601e-02
2.969899665551839618e+01,-1.928102787817055574e+00,7.078470328154425062e-02
2.979933110367893079e+01,-1.920977981325541206e+00,7.123799364839078496e-02
2.989966555183946539e+01,-1.913807220901111883e+00,7.170077361486373868e-02
3.000000000000000000e+01,-1.906589537482062502e+00,7.217338337928917713e-02
